"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"1aUq8rjW1EwkAkMri4VfJy","LOKERA","Rauw Alejandro, Lyanno, Brray","47","-7","-5","SV","2024-11-18","79","True","197101","SATURNO","2023-01-24","0.836","0.826","11","-2.66","0","0.0461","0.213","6.03e-06","0.0814","0.579","102.025","4"
"2aYzaN5SmkRDLsrrV8GkBQ","LA PATRULLA","Peso Pluma, Neton Vega","48","2","-9","SV","2024-11-18","86","True","130614","ÉXODO","2024-06-20","0.722","0.74","6","-7.22","0","0.063","0.68","3.27e-05","0.176","0.893","132.731","3"
"7iUtQNMRB8ZkKC4AmEuCJC","LA FALDA","Myke Towers","49","1","-12","SV","2024-11-18","83","True","174229","LVEU: VIVE LA TUYA...NO LA MIA","2023-09-18","0.8","0.738","7","-4.26","1","0.0691","0.372","0.00877","0.19","0.267","103.008","4"
"1UTLq40xh63wMrHELGnKWW","2:12 AM","Rauw Alejandro, LATIN MAFIA","50","-21","0","SV","2024-11-18","68","True","211918","Cosa Nuestra","2024-11-15","0.724","0.754","8","-3.89","1","0.0317","0.118","0.0","0.122","0.543","125.039","4"
"2UD4l3evthKlDOM6HSrc9N","Cígo a káva (feat. Saul)","Viktor Sheen, Saul","1","0","1","SK","2024-11-18","61","True","183428","Impostor syndrom","2024-11-08","0.752","0.685","1","-5.798","1","0.0591","0.0234","0.621","0.114","0.201","139.995","4"
"6gj6FXx7jZXOOdLX4aNaSK","Syndrom","Viktor Sheen","2","0","4","SK","2024-11-18","62","False","166299","Impostor syndrom","2024-11-08","0.826","0.711","10","-5.649","0","0.0722","0.374","0.00579","0.0718","0.557","127.102","4"
"5uyUYBf12MoDctqYKEUFti","GHETTO ROMANTIKA","Hard Rico","3","2","9","SK","2024-11-18","58","True","153070","GLOBAL","2024-10-18","0.879","0.766","5","-5.832","0","0.061","0.0212","6.8e-05","0.0988","0.886","127.132","4"
"63t5KcNc6sOvyo0leRzueh","Ohnivej kruh","Viktor Sheen","4","0","-3","SK","2024-11-18","62","False","130909","Impostor syndrom","2024-11-08","0.62","0.656","4","-5.374","0","0.13","0.063","7.63e-06","0.0806","0.143","77.018","4"
"1P8o6bOTyh1kEqe72JFzzO","NENI STRE$S","Pil C, Luca Brassi10x, Separ","5","7","9","SK","2024-11-18","61","True","169811","VOJNA","2024-06-07","0.842","0.758","10","-7.584","0","0.17","0.0128","7.02e-06","0.336","0.361","106.029","4"
"1EDPVGbyPKJPeGqATwXZvN","The Emptiness Machine","Linkin Park","6","-3","44","SK","2024-11-18","73","True","190427","From Zero","2024-11-15","0.466","0.872","7","-3.344","1","0.0336","0.0156","0.0","0.121","0.806","184.115","4"
"71oYEUUlOT1ANUqHei1dKO","Převlečená žízeň","Viktor Sheen","7","-1","-3","SK","2024-11-18","62","True","173114","Impostor syndrom","2024-11-08","0.737","0.843","7","-6.061","0","0.0484","0.31","4.39e-05","0.393","0.216","122.02","4"
"7jAC1Ifo1Qpsf8pKW02ata","Roleplay","Viktor Sheen","8","1","0","SK","2024-11-18","61","True","172800","Impostor syndrom","2024-11-08","0.648","0.62","8","-6.025","0","0.34","0.149","4.15e-06","0.0837","0.465","123.65","4"
"1nwKq6t4wpKLK2bWkDVm3e","Pátky","Viktor Sheen","9","1","-2","SK","2024-11-18","61","True","188571","Impostor syndrom","2024-11-08","0.808","0.784","8","-6.467","0","0.0863","0.616","0.000145","0.133","0.793","139.946","4"
"6o8xkwILevddKUOA6rdSMT","Zvyk (feat. SIMILIVINLIFE)","Viktor Sheen, SIMILIVINLIFE","10","1","-7","SK","2024-11-18","61","False","151942","Impostor syndrom","2024-11-08","0.86","0.852","9","-5.306","0","0.237","0.155","0.319","0.099","0.267","139.019","4"
"0fGiTi5MT5MN2UgHYj9YK2","Pro štěstí","Ektor","11","2","39","SK","2024-11-18","53","False","167213","SATIVA","2024-11-11","0.758","0.682","10","-6.004","1","0.163","0.165","0.0","0.133","0.208","102.02","4"
"2262bWmqomIaJXwCRHr13j","Sailor Song","Gigi Perez","12","8","5","SK","2024-11-18","93","False","211978","Sailor Song","2024-07-26","0.494","0.413","11","-10.432","1","0.0254","0.682","6.72e-05","0.193","0.273","94.938","4"
"5wKPW5Df9Clwn2TmAvkQks","Zima Blue (feat. Nik Tendo & Yzomandias)","Viktor Sheen, Yzomandias, Nik Tendo","13","1","-8","SK","2024-11-18","61","True","148333","Impostor syndrom","2024-11-08","0.657","0.851","9","-5.251","1","0.0477","0.00361","0.0432","0.0952","0.7","143.946","4"
"3BQqSkF8Raj9lEzJdscmmu","Bbejbb","Separ, Peter Pann","14","4","2","SK","2024-11-18","59","True","173917","DOVIDENIA","2024-03-02","0.733","0.867","2","-4.767","1","0.138","0.0415","2.96e-06","0.105","0.24","160.073","4"
"1S1WtutWfm67FSZqvSQFul","Hory Kazachstánu","Viktor Sheen","15","2","-4","SK","2024-11-18","60","True","218313","Impostor syndrom","2024-11-08","0.872","0.196","11","-25.258","0","0.641","0.166","8.66e-06","0.0707","0.565","82.986","4"
"38pNZU3kgTMpP59E7fvJUh","Další den","Viktor Sheen","16","0","-7","SK","2024-11-18","60","True","145369","Impostor syndrom","2024-11-08","0.642","0.828","7","-6.933","0","0.0851","0.0145","0.00233","0.192","0.266","149.015","4"
"2HBBM75Xv3o2Mqdyh1NcM0","Heavy Is the Crown","Linkin Park","17","-9","33","SK","2024-11-18","72","False","167012","From Zero","2024-11-15","0.571","0.928","4","-3.725","0","0.0453","0.00932","0.0","0.297","0.488","127.939","4"
"5vNRhkKd0yEAg8suGBpjeY","APT.","ROSÉ, Bruno Mars","18","15","1","SK","2024-11-18","98","False","169917","APT.","2024-10-18","0.777","0.783","0","-4.477","0","0.26","0.0283","0.0","0.355","0.939","149.027","4"
"2plbrEY59IikOBgBGLjaoe","Die With A Smile","Lady Gaga, Bruno Mars","19","7","-1","SK","2024-11-18","100","False","251667","Die With A Smile","2024-08-16","0.521","0.592","6","-7.777","0","0.0304","0.308","0.0","0.122","0.535","157.969","3"
"6i5qhmmF9UNUBRyrPSGn4m","Two Faced","Linkin Park","20","-13","30","SK","2024-11-18","73","False","183584","From Zero","2024-11-15","0.51","0.945","1","-5.405","1","0.0804","0.000658","4.8e-06","0.0413","0.323","91.906","4"
"05pOvEKVCmErFLXfxS7a39","Máta","Viktor Sheen","21","-2","-11","SK","2024-11-18","60","True","175774","Impostor syndrom","2024-11-08","0.852","0.665","5","-6.691","0","0.099","0.0627","1.66e-05","0.114","0.578","141.972","4"
"6dOtVTDdiauQNBQEDOtlAB","BIRDS OF A FEATHER","Billie Eilish","22","12","0","SK","2024-11-18","97","False","210373","HIT ME HARD AND SOFT","2024-05-17","0.747","0.507","2","-10.171","1","0.0358","0.2","0.0608","0.117","0.438","104.978","4"
"4jHKXjkpg3pWQrk9s2jNgt","Výtah","Ektor, Separ, Strapo","23","0","27","SK","2024-11-18","52","True","217666","SATIVA","2024-11-11","0.814","0.58","11","-5.622","0","0.214","0.146","0.0","0.161","0.367","139.992","4"
"5HVr2Ay42xJgB2VZ7CUJQJ","NARCOS","Hard Rico, Yzomandias","24","7","-1","SK","2024-11-18","54","True","191250","GLOBAL","2024-10-18","0.882","0.636","9","-6.876","0","0.212","0.12","0.0","0.0926","0.458","128.046","4"
"1Es7AUAhQvapIcoh3qMKDL","Timeless (with Playboi Carti)","The Weeknd, Playboi Carti","25","5","-1","SK","2024-11-18","92","True","256000","Timeless","2024-09-27","0.769","0.722","11","-5.485","0","0.0507","0.0584","2.56e-06","0.111","0.57","119.973","4"
"2zK9eC7a1nwbINemfyKFKB","Ty a já (feat. Lil Buca Near)","Viktor Sheen, Lil Buca Near","26","1","-13","SK","2024-11-18","59","True","188354","Impostor syndrom","2024-11-08","0.771","0.726","8","-6.683","0","0.159","0.171","0.00125","0.119","0.557","154.913","4"
"4WXX611x1aCtwcqVJgA3xb","Sunset","Separ, Jerry Lee, P T K","27","8","1","SK","2024-11-18","56","True","155520","FLOWDEMORT","2023-03-31","0.762","0.805","1","-6.63","1","0.386","0.237","0.0","0.11","0.271","124.977","4"
"1IhLb5tqlGsVFGwX0Xr9EJ","MANDELA","Zayo, Luca Brassi10x","28","4","-8","SK","2024-11-18","45","True","152257","MANDELA","2024-11-08","0.868","0.799","0","-6.541","1","0.361","0.0224","1.2e-06","0.251","0.649","144.892","4"
"7ne4VBA60CxGM75vw0EYad","That’s So True","Gracie Abrams","29","8","2","SK","2024-11-18","92","True","166300","The Secret of Us (Deluxe)","2024-10-18","0.554","0.808","1","-4.169","1","0.0368","0.214","0.0","0.159","0.372","108.548","4"
"00Imdq7NDBO3zbbREGgUOM","ULICE DRUHÁ MÁMA","Hard Rico, Rytmus","30","6","-9","SK","2024-11-18","59","True","186086","GLOBAL","2024-10-18","0.819","0.721","4","-9.564","0","0.323","0.341","0.00644","0.0809","0.584","137.924","4"
"5mFZipkX1HZ4Idz5LOWpzq","Cut the Bridge","Linkin Park","31","-16","19","SK","2024-11-18","74","False","228606","From Zero","2024-11-15","0.622","0.936","7","-2.72","0","0.067","0.0212","3.09e-06","0.242","0.743","75.024","4"
"2sfL5PDP2uid2zbDYOLaPv","NESTARAM SA","Pil C, Luca Brassi10x","32","6","-3","SK","2024-11-18","54","True","167647","VOJNA","2024-06-07","0.799","0.759","6","-8.618","0","0.176","0.0728","0.00931","0.151","0.582","135.969","4"
"3JG1uFc40wfyrqaWC7iv0e","i like the way you kiss me","Artemas","33","13","-3","SK","2024-11-18","82","False","142514","yustyna","2024-07-11","0.599","0.946","11","-4.263","1","0.0447","0.000938","0.0106","0.0826","0.747","151.647","4"
"5011v8IwA4NApxQ3ntw6Ih","Brick na brick","Hard Rico","34","5","0","SK","2024-11-18","60","True","173731","Brick na brick","2023-09-06","0.898","0.541","11","-9.352","0","0.301","0.145","0.0","0.182","0.49","134.037","4"
"06qMRF18gwbOYYbnP2du6i","Last Christmas - Single Version","Wham!","35","15","15","SK","2024-11-18","70","False","265960","The Singles: Echoes from the Edge of Heaven","2023-07-07","0.733","0.598","2","-8.228","1","0.0278","0.212","3.71e-06","0.156","0.935","107.732","4"
"3k4gjmYNJugQRlh2aounZ9","Over Each Other","Linkin Park","36","-12","14","SK","2024-11-18","72","False","170445","From Zero","2024-11-15","0.55","0.789","10","-4.634","1","0.0382","0.00241","0.0","0.428","0.317","147.947","4"
"4zBNmCPinwFF4mGgN8WqfN","Kiki","Trabo","37","6","-22","SK","2024-11-18","52","False","173181","Kiki","2024-11-08","0.574","0.603","11","-9.675","0","0.358","0.28","0.0116","0.107","0.566","85.035","4"
"0xGQTpN4ESETtl1Sp6rzd2","São Paulo (feat. Anitta)","The Weeknd, Anitta","38","2","-13","SK","2024-11-18","86","True","301623","São Paulo","2024-10-31","0.574","0.659","5","-7.377","0","0.0768","0.0412","0.0002","0.0921","0.506","127.347","4"
"0J1IJsMbKWb5g2sJArTkGF","Stained","Linkin Park","39","-17","11","SK","2024-11-18","72","False","185414","From Zero","2024-11-15","0.516","0.868","6","-5.148","1","0.0969","0.0134","0.0","0.509","0.375","91.97","4"
"0bYg9bo50gSsH3LtXe2SQn","All I Want for Christmas Is You","Mariah Carey","40","10","10","SK","2024-11-18","85","False","241106","Merry Christmas","1994-10-28","0.336","0.627","7","-7.463","1","0.0384","0.164","0.0","0.0708","0.35","150.273","4"
"51wzXdbSUBQt0bcjBpLqXR","Peniaze","Luca Brassi10x, Crosso, Tisci","41","0","-8","SK","2024-11-18","53","True","217070","Ghettoven","2024-04-19","0.714","0.648","10","-8.197","0","0.0754","0.00334","5.66e-06","0.19","0.334","157.036","4"
"1bE7Xr3y4C817TAWunZlFm","mamaididit","Luca Brassi10x, Bwayne, Pil C, Facefront, LUJA","42","8","8","SK","2024-11-18","50","True","207910","mamaididit","2023-10-20","0.711","0.362","1","-11.929","1","0.326","0.0205","0.00266","0.244","0.469","85.878","4"
"67cK1EZ5pJEcUQAoC18Jiz","Ako ty","Momo, Kali","43","-1","7","SK","2024-11-18","36","False","190253","Ako ty","2024-11-15","0.612","0.726","1","-6.218","1","0.292","0.018","0.0","0.112","0.248","145.089","4"
"6aCBjSb87RizdH8lVBIRW7","Good Things Go","Linkin Park","44","-16","6","SK","2024-11-18","72","True","209844","From Zero","2024-11-15","0.541","0.757","2","-5.37","0","0.0421","0.00867","0.0","0.136","0.307","127.005","4"
"0kN7F9Hc6sjJ5WPuuyJJNi","Pinokio","Separ, Dano Kapitán","45","4","-10","SK","2024-11-18","54","True","217053","OG","2020-05-03","0.705","0.662","7","-4.047","0","0.0577","0.484","0.0","0.105","0.561","77.012","4"
"3xkHsmpQCBMytMJNiDf3Ii","Beautiful Things","Benson Boone","46","4","-8","SK","2024-11-18","89","False","180304","Fireworks & Rollerblades","2024-04-05","0.472","0.471","10","-5.692","1","0.0603","0.151","0.0","0.14","0.219","105.029","3"
"7BkZAHnNW7WfrT4NcLaUDx","Casualty","Linkin Park","47","-26","3","SK","2024-11-18","73","False","140915","From Zero","2024-11-15","0.576","0.948","2","-4.082","1","0.173","0.00467","0.00838","0.322","0.5","159.928","4"
"42VsgItocQwOQC3XWZ8JNA","FE!N (feat. Playboi Carti)","Travis Scott, Playboi Carti","48","2","-8","SK","2024-11-18","89","True","191700","UTOPIA","2023-07-28","0.569","0.882","3","-2.777","0","0.06","0.0316","0.0","0.142","0.201","148.038","4"
"7M8eZBRTD9QNasEVReEM0H","IGYEIH","Linkin Park","49","-20","1","SK","2024-11-18","72","False","209083","From Zero","2024-11-15","0.442","0.968","2","-3.417","1","0.126","0.00227","1.53e-05","0.296","0.308","159.974","4"
"7diOv6wm3ngF7Vt6ubK0Sf","Overflow","Linkin Park","50","-25","0","SK","2024-11-18","72","False","211027","From Zero","2024-11-15","0.515","0.654","8","-6.349","1","0.0492","0.116","0.000103","0.0966","0.306","133.916","4"
"5vNRhkKd0yEAg8suGBpjeY","APT.","ROSÉ, Bruno Mars","1","0","0","SG","2024-11-18","98","False","169917","APT.","2024-10-18","0.777","0.783","0","-4.477","0","0.26","0.0283","0.0","0.355","0.939","149.027","4"
"7tI8dRuH2Yc6RuoTjxo4dU","Who","Jimin","2","0","0","SG","2024-11-18","92","False","170887","MUSE","2024-07-19","0.66","0.756","0","-3.743","0","0.032","0.00289","0.0","0.193","0.838","116.034","4"
"2plbrEY59IikOBgBGLjaoe","Die With A Smile","Lady Gaga, Bruno Mars","3","0","0","SG","2024-11-18","100","False","251667","Die With A Smile","2024-08-16","0.521","0.592","6","-7.777","0","0.0304","0.308","0.0","0.122","0.535","157.969","3"
"7ne4VBA60CxGM75vw0EYad","That’s So True","Gracie Abrams","4","0","1","SG","2024-11-18","92","True","166300","The Secret of Us (Deluxe)","2024-10-18","0.554","0.808","1","-4.169","1","0.0368","0.214","0.0","0.159","0.372","108.548","4"
"6dOtVTDdiauQNBQEDOtlAB","BIRDS OF A FEATHER","Billie Eilish","5","0","-1","SG","2024-11-18","97","False","210373","HIT ME HARD AND SOFT","2024-05-17","0.747","0.507","2","-10.171","1","0.0358","0.2","0.0608","0.117","0.438","104.978","4"
"4p7DTkyrKqT98xlIwYYfXz","Running Wild","Jin","6","2","44","SG","2024-11-18","80","False","151646","Happy","2024-11-15","0.487","0.711","8","-4.22","1","0.0322","0.000175","0.0","0.152","0.317","146.921","4"
"2Qcbspnftnon37jibwyvMU","I'll Be There","Jin","7","-1","5","SG","2024-11-18","89","False","181677","I'll Be There","2024-10-25","0.538","0.738","10","-2.412","1","0.0445","0.0351","0.0","0.0898","0.736","148.887","4"
"2CspwnypzT7rcWI9RfsoSb","Mantra","JENNIE","8","-1","-2","SG","2024-11-18","89","True","136627","Mantra","2024-10-10","0.894","0.725","10","-4.984","0","0.0432","0.00434","1.15e-05","0.0815","0.838","116.988","4"
"2262bWmqomIaJXwCRHr13j","Sailor Song","Gigi Perez","9","3","0","SG","2024-11-18","93","False","211978","Sailor Song","2024-07-26","0.494","0.413","11","-10.432","1","0.0254","0.682","6.72e-05","0.193","0.273","94.938","4"
"5G2f63n7IPVPPjfNIGih7Q","Taste","Sabrina Carpenter","10","-1","-2","SG","2024-11-18","94","False","157279","Short n' Sweet","2024-08-23","0.674","0.907","3","-4.086","1","0.064","0.101","0.0","0.297","0.721","112.964","4"
"2HRqTpkrJO5ggZyyK6NPWz","Espresso","Sabrina Carpenter","11","0","-1","SG","2024-11-18","88","True","175459","Short n' Sweet","2024-08-23","0.699","0.776","0","-5.282","1","0.0293","0.131","5.36e-06","0.205","0.708","103.963","4"
"3QaPy1KgI7nu9FJEQUgn6h","WILDFLOWER","Billie Eilish","12","2","3","SG","2024-11-18","92","False","261466","HIT ME HARD AND SOFT","2024-05-17","0.467","0.247","6","-12.002","0","0.0431","0.612","0.000271","0.17","0.126","148.101","4"
"198zDKzyktXRG1PGpidY9h","DRIP","BABYMONSTER","13","37","37","SG","2024-11-18","81","False","180845","DRIP","2024-11-01","0.862","0.687","6","-5.215","1","0.0702","0.065","0.0","0.0862","0.704","119.972","4"
"3yDRcs0Y4pPzkvMbUfeF9H","Moonlit Floor (Kiss Me)","LISA","14","2","-1","SG","2024-11-18","89","False","155757","Moonlit Floor (Kiss Me)","2024-10-03","0.733","0.786","5","-3.951","0","0.112","0.128","0.0","0.31","0.672","109.954","4"
"6uPnrBgweGOcwjFL4ItAvV","Whiplash","aespa","15","35","35","SG","2024-11-18","80","False","183226","Whiplash - The 5th Mini Album","2024-10-21","0.856","0.901","8","-2.954","0","0.0455","0.0943","0.0206","0.0802","0.743","126.007","4"
"0WbMK4wrZ1wFSty9F7FCgu","Good Luck, Babe!","Chappell Roan","16","1","0","SG","2024-11-18","94","False","218423","Good Luck, Babe!","2024-04-05","0.7","0.582","11","-5.96","0","0.0356","0.0502","0.0","0.0881","0.785","116.712","4"
"6aJn7Cst74cj4lNIiPRgav","Touch","KATSEYE","17","2","-3","SG","2024-11-18","85","False","129882","Touch","2024-07-26","0.739","0.904","5","-2.655","0","0.0442","0.549","1.03e-05","0.0948","0.788","167.033","4"
"51rfRCiUSvxXlCSCfIztBy","I Love You, I'm Sorry","Gracie Abrams","18","3","0","SG","2024-11-18","90","True","157146","The Secret of Us","2024-06-21","0.53","0.406","10","-7.507","1","0.033","0.656","0.0","0.133","0.338","115.94","3"
"2DbDefRFJ5YOfXCKOeCJJh","Igloo","KISS OF LIFE","19","1","2","SG","2024-11-18","80","False","131786","Lose Yourself","2024-10-15","0.916","0.609","11","-4.457","0","0.217","0.168","0.0","0.0906","0.873","139.912","4"
"5O2P9iiztwhomNh8xkR9lJ","Night Changes","One Direction","20","4","19","SG","2024-11-18","89","False","226600","FOUR (Deluxe)","2014-11-17","0.672","0.52","8","-7.747","1","0.0353","0.859","0.0","0.115","0.37","120.001","4"
"2tHwzyyOLoWSFqYNjeVMzj","Please Please Please","Sabrina Carpenter","21","2","-2","SG","2024-11-18","87","True","186365","Short n' Sweet","2024-08-23","0.675","0.586","9","-6.086","1","0.0531","0.257","0.0","0.104","0.621","107.015","4"
"2aL4lMGhWdPpyPL6COPou7","Soft Spot","keshi","22","0","-2","SG","2024-11-18","77","False","204223","Requiem","2024-09-13","0.696","0.595","11","-7.649","1","0.0262","0.361","0.000243","0.0938","0.708","105.995","4"
"1b6qYBwDMBpFylGVT4PRgD","Heart on the Window (with WENDY)","Jin, WENDY","23","4","27","SG","2024-11-18","71","False","177093","Happy","2024-11-15","0.615","0.865","11","-6.114","0","0.0522","0.0536","0.0","0.738","0.52","145.999","4"
"1f18HzFpegqvH4ibGJyeMJ","2 hands","Tate McRae","24","-6","26","SG","2024-11-18","74","True","181820","2 hands","2024-11-14","0.608","0.806","1","-3.443","1","0.0486","0.121","0.0","0.191","0.587","104.032","4"
"51ZQ1vr10ffzbwIjDCwqm4","we can't be friends (wait for your love)","Ariana Grande","25","1","-1","SG","2024-11-18","86","False","228639","eternal sunshine","2024-03-08","0.645","0.646","5","-8.334","1","0.0427","0.0615","3.04e-05","0.074","0.295","115.842","4"
"1BxfuPKGuaTgP7aM0Bbdwr","Cruel Summer","Taylor Swift","26","4","2","SG","2024-11-18","89","False","178426","Lover","2019-08-23","0.552","0.702","9","-5.707","1","0.157","0.117","2.06e-05","0.105","0.564","169.994","4"
"6MzofobZt2dm0Kf1hTThFz","Diet Pepsi","Addison Rae","27","-2","-4","SG","2024-11-18","88","False","169697","Diet Pepsi","2024-08-09","0.669","0.561","10","-6.538","1","0.0411","0.495","0.00962","0.0954","0.841","150.069","4"
"2HRgqmZQC0MC7GeNuDIXHN","Seven (feat. Latto) (Explicit Ver.)","Jung Kook, Latto","28","-18","-1","SG","2024-11-18","84","True","183550","GOLDEN","2023-11-03","0.79","0.831","11","-4.185","1","0.044","0.312","0.0","0.0797","0.872","124.987","4"
"0KKkJNfGyhkQ5aFogxQAPU","That's What I Like","Bruno Mars","29","0","-7","SG","2024-11-18","88","False","206693","24K Magic","2016-11-17","0.853","0.56","1","-4.961","1","0.0406","0.013","0.0","0.0944","0.86","134.066","4"
"4xbq37lr4SuP3kuxj9y8gp","Another Level","Jin","30","1","20","SG","2024-11-18","71","False","162834","Happy","2024-11-15","0.548","0.577","4","-4.877","1","0.0284","0.159","0.0","0.0642","0.348","80.036","4"
"47Slg6LuqLaX0VodpSCvPt","Just the Way You Are","Bruno Mars","31","19","19","SG","2024-11-18","81","False","220734","Doo-Wops & Hooligans","2010-05-11","0.635","0.841","5","-5.379","1","0.0422","0.0134","0.0","0.0622","0.424","109.021","4"
"1Es7AUAhQvapIcoh3qMKDL","Timeless (with Playboi Carti)","The Weeknd, Playboi Carti","32","-4","-7","SG","2024-11-18","92","True","256000","Timeless","2024-09-27","0.769","0.722","11","-5.485","0","0.0507","0.0584","2.56e-06","0.111","0.57","119.973","4"
"3DeK5G7OhuJ1P1462XXgIu","Falling","Jin","33","1","17","SG","2024-11-18","70","False","178838","Happy","2024-11-15","0.662","0.708","8","-4.626","0","0.0338","0.038","0.00023","0.0483","0.607","127.988","4"
"5c2BZj7YSGHwvjf2CtO2S4","I will come to you","Jin","34","3","16","SG","2024-11-18","70","False","156964","Happy","2024-11-15","0.625","0.129","7","-13.824","1","0.0343","0.897","0.0","0.0856","0.496","79.979","4"
"44hqFxUWsADWewEJELnncj","No Doubt","ENHYPEN","35","1","15","SG","2024-11-18","75","False","167219","ROMANCE : UNTOLD -daydream-","2024-11-11","0.837","0.456","8","-7.07","0","0.0791","0.11","0.0","0.0553","0.521","130.03","4"
"21LtZQQMQYwVIxc9O9Ygq8","Cherish (My Love)","ILLIT","36","-1","-7","SG","2024-11-18","72","False","176854","Cherish (My Love) (Remixes)","2024-10-28","0.714","0.821","4","-3.835","1","0.065","0.236","0.0","0.164","0.303","142.97","4"
"1aKvZDoLGkNMxoRYgkckZG","Magnetic","ILLIT","37","4","-5","SG","2024-11-18","83","False","160688","SUPER REAL ME","2024-03-25","0.797","0.668","6","-5.819","1","0.0687","0.257","0.0","0.0876","0.69","131.067","4"
"3LWVXp636uLT356Rj08Jaz","Be Mine","Jimin","38","12","-21","SG","2024-11-18","77","False","207347","MUSE","2024-07-19","0.687","0.747","1","-5.496","0","0.0883","0.056","1.34e-06","0.11","0.56","66.495","5"
"3AJwUDP919kvQ9QcozQPxg","Yellow","Coldplay","39","3","-9","SG","2024-11-18","89","False","266773","Parachutes","2000-07-10","0.429","0.661","11","-7.227","1","0.0281","0.00239","0.000121","0.234","0.285","173.372","4"
"1UHS8Rf6h5Ar3CDWRd3wjF","Bed Chem","Sabrina Carpenter","40","-1","-7","SG","2024-11-18","90","False","171869","Short n' Sweet","2024-08-23","0.739","0.727","11","-5.968","0","0.0426","0.0678","0.0","0.104","0.676","94.99","4"
"6GyUt7yJ0sOktc5HjvVnFh","在加納共和國離婚","Firdhaus, DIOR 大穎","41","-1","-5","SG","2024-11-18","66","False","261000","在加納共和國離婚","2023-08-14","0.415","0.381","7","-9.731","1","0.0516","0.859","0.0","0.129","0.241","116.053","4"
"3xkHsmpQCBMytMJNiDf3Ii","Beautiful Things","Benson Boone","42","7","-4","SG","2024-11-18","89","False","180304","Fireworks & Rollerblades","2024-04-05","0.472","0.471","10","-5.692","1","0.0603","0.151","0.0","0.14","0.219","105.029","3"
"48shm8jmaY2daKSe4gSKP6","想念你想我","Eric Chou","43","-11","7","SG","2024-11-18","50","False","240461","想念你想我","2024-11-15","0.463","0.482","9","-5.676","1","0.0265","0.655","0.0","0.256","0.416","139.842","4"
"19XpFsce28aByvCC4g89tJ","Too Sweet","Hozier","44","-1","-9","SG","2024-11-18","84","False","251424","Unreal Unearth: Unaired","2024-08-19","0.74","0.643","10","-5.446","1","0.0413","0.041","0.00229","0.0407","0.96","117.025","4"
"7CyPwkp0oE8Ro9Dd5CUDjW","One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp","45","-1","-2","SG","2024-11-18","89","False","244684","The Idol Episode 4 (Music from the HBO Original Series)","2023-06-23","0.264","0.64","8","-6.221","1","0.0442","0.0393","2.31e-06","0.151","0.19","84.828","4"
"0VVD95cRAppHSOGPYrfIG2","the cutest pair","Regina Song","46","-1","-15","SG","2024-11-18","72","False","158400","fangirl","2024-06-14","0.747","0.475","2","-9.498","0","0.037","0.817","0.0","0.211","0.331","99.973","4"
"1Qrg8KqiBpW07V7PNxwwwL","Kill Bill","SZA","47","3","3","SG","2024-11-18","86","False","153946","SOS","2022-12-08","0.644","0.735","8","-5.747","1","0.0391","0.0521","0.144","0.161","0.418","88.98","4"
"5sTLGx6c7YRwnrWm6O091n","Supernova Love","IVE, David Guetta","48","-2","-8","SG","2024-11-18","73","False","199504","Supernova Love","2024-11-08","0.655","0.886","10","-5.227","0","0.0502","0.066","0.0","0.277","0.778","120.032","4"
"24XihnoVPWXlKJ4BgXqjVM","It's ok I'm ok","Tate McRae","49","-11","1","SG","2024-11-18","85","True","156521","It's ok I'm ok","2024-09-12","0.754","0.514","1","-7.721","0","0.0471","0.0257","3.98e-05","0.0808","0.363","114.997","4"
"0QzuaeCEEOV40Pn7IvKEny","double take","Dhruv","50","0","0","SG","2024-11-18","81","False","171743","rapunzel","2022-01-21","0.656","0.436","8","-11.141","1","0.0744","0.845","0.0","0.221","0.196","109.239","4"
"5GdAGqF9ZI4gADtpVAxqe7","Lost and found","Molly Sandén, Victor Leksell","1","0","0","SE","2024-11-18","70","False","194785","Lost and found","2024-09-20","0.795","0.191","3","-10.622","1","0.0409","0.757","0.0","0.0973","0.145","112.074","4"
